Career,Precision,Recall,F1-Score,Support
AI Engineer,0.9152542372881356,0.7714285714285715,0.8372093023255813,70
Backend Developer,0.5319148936170213,0.5681818181818182,0.5494505494505494,44
Data Analyst,0.8888888888888888,0.7692307692307693,0.8247422680412372,52
Frontend Developer,0.9016393442622951,0.7534246575342466,0.8208955223880597,73
Project Manager,0.7446808510638298,0.8333333333333334,0.7865168539325842,42
Software Engineer,0.5409836065573771,0.6111111111111112,0.5739130434782609,54
UX Designer,0.5892857142857143,0.8048780487804879,0.6804123711340206,41
